address,latitude,longitude
heigern 4-8 | 97286 winterhausen,49.7062744,10.0135259
johannagasse 28 | 1050 wien,48.1851496,16.3474096
wellerstädter weg 9 | 91083 baiersdorf,49.6593162,11.0324823799195
tradigist 36 | 3203 rabenstein an der pielach,48.03508135,15.500046336430369
heinrich-taubenreuther-strasse 60 | 95361 ködnitz,50.117291550000004,11.509694148779793
brahmsweg 7 | 73453 abtsgmünd,48.88944685,9.99471925
simon prem-strasse 6 | 6300 wörgl,47.48648825,12.0704694
hinterhörn 2a | 23758 oldenburg,54.2918256,10.8887923
rosenheimer str. 21a | 83135 schechen,47.9289083,12.1277786
reindorfer osterberg 75 | 21266 jesteburg,53.3098391,9.9239679
bernd-rosemeyer-strasse 7 | 30880 laatzen,52.2919392,9.8208156
otto-lilienthal-strasse 2 | 49134 wallenhorst,52.3540336,8.001351792213418
gummiwerkstrasse 2 | 06886 lutherstadt wittenberg,51.873692,12.575775908134522
dr.-renner-strasse 1 | 4210 gallneukirchen,48.3544137,14.421826314097746
friedhofgasse 2 | 7141 podersdorf am see,47.8537473,16.8395939
siegsdorfer strasse 9a | 81825 münchen,48.1239592,11.6522416
ramsaustrasse 103 | 5324 faistenau,47.77431395,13.257580813732355
60 chemin de porte broc | 07100 annonay,45.24205,4.6895102
schelztorstrasse 54-56 | 73728 esslingen,48.7417329,9.3014024
rainweg 42 | 85123 karlskron,48.67972785,11.437178127361246
berner strasse 28 | 60437 frankfurt,50.1929091,8.661314146865926
große bleichen 16 | 20354 hamburg,53.5534707,9.9902302
siebenhügelstrasse 75 | 9020 klagenfurt,46.61170535,14.28223752666094
schloßstrasse 16 | 93491 stamsried,49.2695349,12.53149587550434
nennersdorfer strasse 27 | 8700 leoben,47.3775269,15.1077977
nickepütz 32 | 52349 düren,50.80718455,6.457280568520973
dresdner strasse 11 | 94315 straubing,48.88256925,12.615409467198237
seilerweg 45 | 3500 krems,48.4262216,15.588885397011751
gewerbehof 26 | 73441 bopfingen,48.8479374,10.375378387247306
wiener strasse 4 | 2352 gumpoldskirchen,48.0453025,16.2771063
stuben 25 | 6762 stuben,46.9685475,10.5300014
mühlgasse 12 | 83278 traunstein,47.857809950000004,12.633885365833335
hauptstrasse 39 | 82327 tutzing,47.9105064,11.2804089
kirchengasse 36 | 3451 rust,48.30081145,15.925402553030136
salzburgerstrasse 4 | 5600 st. johann,47.3544311,13.206589492768408
dr. hans-bachmann-strasse 54 | 6250 kundl,47.474414,11.9807116
zusestrasse 1 | 64347 griesheim,49.87028125,8.545014288235318
davisstrasse 13 | 5400 hallein,47.67972035,13.100443148453486
farnweg 7 | 26135 oldenburg,53.10307005,8.242705906865258
gutenbergstrasse 80-86 | 24118 kiel,54.3332139,10.1141907
sportplatzstrasse 5 | 77836 rheinmünster,48.74786855,8.045351994707207
sandgrube 1 | 3500 krems an der donau,48.4194109,15.6187659
frühlingstrasse 31 | 85055 ingolstadt,48.7663347,11.4377136
herzog-eugen-strasse 34 | 72250 freudenstadt,48.4693949,8.4103453
hans-böckler-str. 3 | 63128 dietzenbach,50.0176587,8.7940902
mittelpunktstrasse 65 | 32120 hiddenhausen,52.1491053,8.637976721571993
im haslet 38 | 93086 wörth,48.9989037,12.390450764670204
rachheide 16-18 | 33739 bielefeld,52.1011743,8.5665796
textorstrasse 16 | 60594 frankfurt,50.1025537,8.6888705
fiedlerstrasse 4 | 01307 dresden,51.05305185,13.7723208
konrad-zuse-strasse 16 | 47445 moers,51.4717362,6.639019
merheimer platz 16 | 50733 köln,50.95796395,6.950913510759035
za la cornadelle | 24300 augignac,45.5906461,0.7071466
junkersstrasse 12 | 06847 dessau-roßlau,51.82850235,12.2217624
bahnhofstrasse 9a | 82166 gräfelfing,48.1171571,11.4323082
platz der jugend 19 | 04509 krostitz,51.4976923,12.4319484
lindenstrasse 40 | 25548 kellinghusen,53.95277285,9.72017440361024
celler strasse 44 | 30161 hannover,52.38335885,9.741000184808506
gartenkamp 211 | 49492 westerkappeln,52.314039949999994,7.8996895766720945
hoher kamp 7 | 31552 apelern,52.287718049999995,9.285807053461173
lindenstrasse 4 | 82387 antdorf,47.7513725,11.3076973
sternweg 20 | 8401 zettling,46.970103,15.4370763
alte strasse 3 | 79249 merzhausen,47.9727113,7.8293649
industriestrasse 4-6 | 89347 bubesheim,48.4310859,10.260417322392637
porschestrasse 20 | 51381 leverkusen,51.05646855,7.021515631385878
benzstrasse 6 | 89250 senden,48.331230399999995,10.055355675270865
raiffeisenstrasse 8c | 46244 bottrop,51.6104067,6.934457211643504
venloer str.67 | 47623 kevelaer,51.5815266,6.2417293
volkhausenstrasse 6a | 32105 bad salzuflen,52.089548,8.741064978544218
auf der wies 21 | 87727 babenhausen,48.142021,10.2492582
heinrich-vogl-strasse 21 | 81479 münchen,48.0782692,11.5287806
